COUNTY,AQI,YEARS,CURRENT PREVALENCE,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Fire_Count,GIS_ACRES
Monterey,40.4027397260274,2022,6.6,0.6316,0.614,0.8947,0.8772,0.807,5,957.92813
Nevada,59.112328767123316,2022,9.2,0.1754,0.1404,0.0175,0.0702,0.0351,8,1098.04106
Orange,54.54246575342465,2022,6.7,0.3509,0.2982,0.6491,0.4211,0.3684,3,909.25
Placer,63.08767123287669,2022,10.4,0,0.2281,0.2456,0.0175,0,13,77248.85511999998
Riverside,103.66849315068501,2022,8.3,0.614,0.6667,0.7544,0.4035,0.614,5,34519.52032
Sacramento,59.8958904109589,2022,12.2,0.4211,0.6491,0.614,0.4737,0.5263,3,123.12549999999999
San Benito,43.68493150684932,2022,7.1,0.3158,0.5614,0.807,0.0877,0.2632,4,251.95739999999998
San Bernardino,96.02739726027393,2022,9.9,0.807,0.5965,0.9474,0.5965,0.8246,9,2637.3056000000006
San Diego,68.58356164383561,2022,8.5,0.4386,0.2281,0.5439,0.7368,0.4912,27,5846.305478999999
San Joaquin,54.49589041095887,2022,10.6,0.5614,0.7719,0.8772,0.5614,0.7368,1,274.184
San Luis Obispo,56.63561643835616,2022,9,0.2105,0.193,0.2807,0.3509,0.2105,16,680.8419162
San Mateo,39.46849315068493,2022,7.6,0.0175,0.0175,0.7018,0.4912,0.0877,3,64.0569
Santa Barbara,48.58356164383562,2022,9.8,0.6667,0.5789,0.5965,1,0.8421,1,123.769
Santa Clara,51.29589041095889,2022,7.4,0.0351,0.0351,0.8596,0.7544,0.193,2,117.5044
Shasta,49.55616438356166,2022,5.7,0.4912,0.7018,0.1053,0.5439,0.5088,5,598.4449
Siskiyou,44.58839779005524,2022,9,0.5965,0.5263,0.193,0.2982,0.4737,21,86271.50333
Sonoma,37.498630136986286,2022,7.8,0.1579,0.3333,0.386,0.3158,0.2456,3,140.3803
Stanislaus,63.6986301369863,2022,11.5,0.7368,0.8421,0.6491,0.2807,0.7193,3,554.4781
Tehama,48.47945205479453,2022,11.4,0.6842,0.9123,0.3158,0.4386,0.7018,5,1128.1498
Trinity,42.98583569405098,2022,9,0.5439,0.4737,0.0702,0.1754,0.4211,3,30177.176999999996
Tulare,82.92876712328766,2022,7.2,0.9649,0.8596,0.9298,0.386,0.9123,5,1872.5369800000003
Tuolumne,39.27600000000001,2022,13.9,0.5088,0.3684,0.0526,0.4561,0.4035,4,2951.4514999999997
Ventura,55.47123287671235,2022,9.9,0.386,0.5263,0.5614,0.2281,0.386,5,85.19032
